protocol,distribution,metric,n_strategies,strategies,n_seeds,seeds,chi_square,p_value,pg_chi_square,pg_p_value,note
image,iid,accuracy,6,"Centralized,FedAvg,FedBN,FedProx(mu=0.01),FedProx(mu=0.1),Local-only",2,"123,456",10.0,0.07523524614651217,,,
image,non_iid_label,accuracy,6,"Centralized,FedAvg,FedBN,FedProx(mu=0.01),FedProx(mu=0.1),Local-only",2,"123,456",8.285714285714285,0.14117646267526998,,,
